Date,Air flow rate,Rinse,%T-340 CTA,%Residue,Temp RX,ML Blow,Q concentration
04/12/2021 10:00,169.2840118,6.980290413,14.39999962,75,183.8549347,3.502738237,85.59999847
04/12/2021 16:00,170.4875641,7.020900726,15.60000038,75,183.5953522,3.515247345,86.80000305
04/12/2021 22:00,169.9695587,6.989547253,16,75,183.3257446,3.502223969,85.69999695
05/12/2021 04:00,169.5989532,7.008703709,17.70000076,75,183.3702545,3.499396324,85.90000153
05/12/2021 10:00,169.7801208,6.999414444,16.20000076,75,183.3850403,3.505742073,86.09999847
05/12/2021 16:00,170.2257385,7.016319275,16.5,75,183.3572388,3.508873463,85.90000153
05/12/2021 22:00,169.8555908,7.024435043,16.79999924,75,183.3730469,3.512011528,86
06/12/2021 04:00,170.303772,6.96321106,16,75,183.3164978,3.50513196,85.40000153
06/12/2021 10:00,169.6430359,6.991663933,16.79999924,75,183.4587097,3.482419491,85.69999695
06/12/2021 16:00,170.0975952,6.975838661,17.10000038,75,183.4521942,3.493505716,85.69999695
06/12/2021 22:00,170.2442017,7.002528191,16.29999924,75,183.4039307,3.481188059,85.59999847
07/12/2021 04:00,170.417099,7.006163597,17.60000038,75,183.3344116,3.489356279,85.59999847
07/12/2021 10:00,169.8262024,8.01291275,17.5,100,183.3652191,3.476281404,85.69999695
07/12/2021 16:00,170.1524658,7.993296146,16,100,183.4816437,3.493330956,85.80000305
07/12/2021 22:00,169.770813,8.016792297,16.5,0,183.5046539,3.514346361,85.59999847
08/12/2021 04:00,170.1031647,8.00997448,17.5,100,183.3747253,3.489212513,85.59999847
08/12/2021 10:00,170.1970215,8.03828907,15.80000019,100,183.3941956,3.501188993,85.59999847
08/12/2021 16:00,169.8869781,7.982647896,16.39999962,100,183.3617249,3.47811985,85.5
08/12/2021 22:00,169.3360291,8.0128479,15.60000038,100,183.3919373,3.487107992,85.09999847
09/12/2021 04:00,169.5713501,7.988180161,16.20000076,100,183.379364,3.507280588,85.69999695
09/12/2021 10:00,169.7174072,7.971184731,12.80000019,100,183.3136902,3.539786577,85.40000153
09/12/2021 16:00,170.6928711,7.99832058,13.89999962,0,183.3829041,3.494425297,86
09/12/2021 22:00,170.7078705,7.997349739,15,100,183.5802765,4.938801289,85.59999847
10/12/2021 04:00,170.5062103,8.003082275,14.10000038,100,183.4945831,0.000156853,86
10/12/2021 10:00,171.6475525,8.003071785,15.39999962,100,183.64151,9.25E-05,85.90000153
10/12/2021 16:00,172.1793671,8.018715858,15.80000019,50,183.5927582,0.000100592,86.09999847
10/12/2021 22:00,171.7106323,7.991709709,15.5,50,183.3752594,0.000197432,86.30000305
11/12/2021 04:00,171.8261871,8.026450157,14.60000038,50,183.3728333,0.000222198,86.09999847
11/12/2021 10:00,171.6048431,7.989053726,16.20000076,50,183.3225861,0.000240857,86
11/12/2021 16:00,172.526123,8.01307106,16,75,183.5531464,2.36E-05,85.90000153
11/12/2021 22:00,172.075882,7.999153137,16,75,183.5184174,-6.30E-06,85.40000153
12/12/2021 04:00,172.3220367,8.027962685,17.39999962,75,183.4064789,4.08E-05,86.09999847
12/12/2021 10:00,171.0596771,7.984428883,16.20000076,75,183.4098663,8.07E-05,85.69999695
12/12/2021 16:00,171.7055359,7.950565815,16.10000038,75,183.3810272,0.000181559,86.30000305
12/12/2021 22:00,172.4953613,7.983481407,15.69999981,75,183.5293732,0.000224301,86
13/12/2021 04:00,171.938797,7.985139847,13.69999981,75,183.4241791,7.09E-07,85.90000153
